UID,NAME,PROV,CITY,DIST,ADDRESS,TEL,LONG,LAT
338c23a26a1e9ee835b06c4a,华银天鹅湖金海岸,,,,河北省保定市涞水县张坊镇西行2公里(河北涞水县宋各庄乡北色树村天鹅湖旁),,115.622152,39.580339
d534ea243d0fed0484154122,天鹅湖HOLI公馆,,,,河北省保定市房山张坊镇西行2公里（河北涞水县宋各庄乡北色树村天鹅湖旁）,,115.621133,39.579803
d21b96e55fddb2497ec87628,华银天鹅湖酒店式公寓,,,,保定市涞水县宋各庄乡西天鹅湖,,115.624435,39.57604
33e8e9c756ab5c2f2e473327,天鹅湖西山廊桥,,,,天鹅湖生态旅游风景区北,,115.627032,39.586042
887bf83bf5a710632dfaa716,自然家园,河北省,保定市,涞水县,保定市涞水县野三坡大街野三坡漂流终点同路假日酒店旁,13831216400,115.4822,39.645457
53349ee3d57ad16e22026222,北山庄,河北省,保定市,涞水县,保定市涞水县,,115.608283,39.529446
6c8a86ad9ab01d7333621230,保定城钰山庄,,,,涞水保定涞水三坡镇下庄村,,115.444628,39.616118
fae1240d914f1166b8df8f37,桃源新都孔雀城,,,,涿州市东城坊镇涿州市翰仕文传纸制品公司东北侧300米,,115.821837,39.476571
50743d2b284e9f4a40ab9af7,京涞新城,河北省,保定市,涞水县,保野公路西50米,,115.728757,39.509242
75a0e282208ae0275b10935e,一渡龙湾,,,,东庄大街与232省道交叉口东北150米,,115.682845,39.581915
024b5351981e45b5a7c756f7,活佛山公寓,河北省,保定市,涞水县,河北省保定市涞水县宋各庄乡活佛山公寓,,115.666497,39.553653
450dc8f615a7962ff4e73b57,鸿盛凯旋门,,,,河北省保定市涿州市北二环（永济中路）爱民街9号,,116.013225,39.510503
925c550f644aebb25a3ac82d,名流枫景洋房,河北省,保定市,涿州市,保定市涿州市燕邑路127号,,116.027159,39.500342
84157160352c96779868b4af,燕赵花园,,,,河北省保定市涿州市涿州市鸣泽大街79号,,116.02851,39.498058
4eb3b533c6f9ea754302452d,仙颐园小区,河北省,保定市,涿州市,涿州市西客站南广场融信大厦606,,115.992462,39.48457
606ab0d0e941212a0e3dda2d,晨光小区,河北省,保定市,涿州市,河北省保定市涿州市晨光路60号,,116.013449,39.485273
a12baa40521f6855e856fa0e,宏远景园,河北省,保定市,涿州市,保定市涿州市冠云中路148号,,116.006766,39.482073
435d7aea66043f355abbbc32,联合小区六号院,河北省,保定市,涿州市,华阳路东门大街49号,,115.983604,39.502068
4404d560733c481e047ce8a1,名流枫景五期,河北省,保定市,涿州市,平安北街附近,,116.023477,39.505232
98dfacf27562547f2efaa7bd,东兴小区,河北省,保定市,涿州市,诚信路2号,,116.018279,39.48541
